SchoolYear,OrganizationLevel,County,DistrictCode,DistrictName,SchoolName,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities
2019-20,District,Snohomish,31103,Monroe School District,District Total,12th Grade,897,447,1,449,8,13,38,171,2,51,614,17,0,0,11,223,0,3,123,41,71,880,895,897,886,674,897,894,774,856,826
2019-20,District,Grays Harbor,14066,Montesano School District,District Total,12th Grade,122,57,0,65,1,1,0,17,0,10,93,3,0,6,1,42,0,0,8,7,19,119,121,116,121,80,122,122,114,115,103
2019-20,District,Lewis,21214,Morton School District,District Total,12th Grade,33,17,0,16,2,1,0,4,0,1,25,0,0,1,2,21,0,0,4,2,3,33,32,32,31,12,33,33,29,31,30
2019-20,District,Grant,13161,Moses Lake School District,District Total,12th Grade,594,315,0,279,3,2,8,295,0,12,274,24,0,64,2,300,32,0,54,17,61,570,592,530,592,294,562,594,540,577,533
2019-20,District,Lewis,21206,Mossyrock School District,District Total,12th Grade,41,17,0,24,1,1,0,8,0,0,31,0,0,0,2,26,2,0,0,1,4,41,41,41,39,15,39,41,41,40,37
2019-20,District,Yakima,39209,Mount Adams School District,District Total,12th Grade,60,26,0,34,26,0,0,27,0,5,2,19,0,2,11,58,6,0,5,5,7,41,59,58,49,2,54,60,55,55,53
2019-20,District,Whatcom,37507,Mount Baker School District,District Total,12th Grade,98,51,0,47,6,2,0,16,0,2,72,4,0,14,12,44,1,0,7,1,11,94,98,84,86,54,97,98,91,97,87
2019-20,District,Skagit,29320,Mount Vernon School District,District Total,12th Grade,725,328,0,397,7,17,15,328,5,9,344,67,0,29,7,354,93,3,55,24,52,658,722,696,718,371,632,722,670,701,673
2019-20,District,King,17903,Muckleshoot Indian Tribe,District Total,12th Grade,46,23,0,23,42,0,0,1,0,2,1,0,0,0,0,31,1,0,4,0,2,46,46,46,46,15,45,46,42,46,44
2019-20,District,Snohomish,31006,Mukilteo School District,District Total,12th Grade,1216,588,0,628,12,205,85,340,17,94,463,141,0,49,31,512,3,0,60,55,189,1075,1212,1167,1185,704,1213,1216,1156,1161,1027
2019-20,District,Yakima,39003,Naches Valley School District,District Total,12th Grade,109,52,0,57,1,1,0,15,0,3,89,4,0,3,0,50,4,2,5,6,13,105,109,106,109,59,105,107,104,103,96
2019-20,District,Lewis,21014,Napavine School District,District Total,12th Grade,67,32,0,35,1,0,0,9,0,1,56,0,0,4,3,26,0,3,2,0,5,67,65,63,64,41,67,64,65,67,62
2019-20,District,Pacific,25155,Naselle-Grays River Valley School District,District Total,12th Grade,68,11,0,57,2,1,10,14,1,6,34,7,0,0,1,34,3,0,33,5,17,61,66,68,67,34,65,68,35,63,51
2019-20,District,Pend Oreille,26056,Newport School District,District Total,12th Grade,90,32,0,58,1,1,0,4,0,7,77,0,0,6,15,55,0,0,6,11,11,90,89,84,75,35,90,90,84,79,79
2019-20,District,Spokane,32325,Nine Mile Falls School District,District Total,12th Grade,112,56,0,56,0,0,1,2,1,6,102,0,0,0,1,29,0,4,3,2,6,112,112,112,111,83,112,108,109,110,106
2019-20,District,Whatcom,37506,Nooksack Valley School District,District Total,12th Grade,113,50,0,63,1,1,0,33,0,3,75,4,0,0,5,52,3,1,7,4,14,109,113,113,108,61,110,112,106,109,99
2019-20,District,Grays Harbor,14064,North Beach School District No. 64,District Total,12th Grade,48,20,1,27,3,1,1,6,0,0,37,0,0,7,12,27,0,0,7,1,7,48,46,41,36,21,48,48,41,47,41
